city,state,zip,is_available,,
Murfreesboro,Tennessee,37130,TRUE,,
Shreveport,Louisiana,71101,TRUE,,
Pembroke Pines,Florida,33025,TRUE,,
Springfield,Missouri,65802,TRUE,,
Fort Collins,Colorado,80521,TRUE,,
Denton,Texas,76201,TRUE,,
Surprise,Arizona,16000,TRUE,,
Oceanside,California,92054,TRUE,,
Roseville,California,95678,TRUE,,
Garden Grove,California,11222,TRUE,,
Killeen,Texas,76541,TRUE,,
Corona,California,92882,TRUE,,
Lancaster,California,44933,TRUE,,
Charleston,South Carolina,29401,TRUE,,
Salinas,California,93901,TRUE,,
Palmdale,California,38300,TRUE,,
Macon-Bibb County,Georgia,31201,TRUE,,
Lakewood,Colorado,80226,TRUE,,
Hollywood,Florida,33020,TRUE,,
Paterson,New Jersey,7505,TRUE,,
Alexandria,Virginia,22314,TRUE,,
Springfield,Massachusetts,1103,TRUE,,
Bellevue,Washington,98004,TRUE,,
Olathe,Kansas,66061,TRUE,,
Hayward,California,94541,TRUE,,
Naperville,Illinois,60540,TRUE,,
Kansas City,Kansas,66101,TRUE,,
Joliet,Illinois,60432,TRUE,,
Sunnyvale,California,94086,TRUE,,
McAllen,Texas,78501,TRUE,,
Bridgeport,Connecticut,6604,TRUE,,
Gainesville,Florida,32601,TRUE,,
Savannah,Georgia,31401,TRUE,,
Waco,Texas,76701,TRUE,,
Visalia,California,93291,TRUE,,
Thornton,Colorado,80229,TRUE,,
Columbia,South Carolina,29201,TRUE,,
Escondido,California,92025,TRUE,,
Palm Bay,Florida,32907,TRUE,,
Mesquite,Texas,75149,TRUE,,
Meridian,Idaho,83642,TRUE,,
Syracuse,New York,13202,TRUE,,
Rockford,Illinois,61104,TRUE,,
Pasadena,Texas,77506,TRUE,,
Midland,Texas,79701,TRUE,,
Pomona,California,91766,TRUE,,
Victorville,California,14343,TRUE,,
Miramar,Florida,33025,TRUE,,
Metairie,Louisiana,70123,TRUE,,
New Haven,Connecticut,6510,TRUE,,
Lewisville,Texas,75057,TRUE,,
Fargo,North Dakota,58102,TRUE,,
Orange,California,92866,TRUE,,
Jackson,Mississippi,39201,TRUE,,
Round Rock,Texas,78664,TRUE,,
Hampton,Virginia,23669,TRUE,,
Stamford,Connecticut,6901,TRUE,,
Fullerton,California,92832,TRUE,,
Coral Springs,Florida,33065,TRUE,,
Elizabeth,New Jersey,7201,TRUE,,
Warren,Michigan,48093,TRUE,,
Cedar Rapids,Iowa,52401,TRUE,,
Torrance,California,90503,TRUE,,
Dayton,Ohio,45402,TRUE,,
Lehigh Acres,Florida,33971,TRUE,,
Sterling Heights,Michigan,40555,TRUE,,
Santa Clara,California,95050,TRUE,,
Carrollton,Texas,75006,TRUE,,
Abilene,Texas,79601,TRUE,,
Columbia,Missouri,65201,TRUE,,
Norman,Oklahoma,73069,TRUE,,
Kent,Washington,98032,TRUE,,
West Valley City,Utah,84119,TRUE,,
Pasadena,California,91101,TRUE,,
Athens,Georgia,30601,TRUE,,
Clovis,California,93612,TRUE,,
Pearland,Texas,77581,TRUE,,
West Palm Beach,Florida,33401,TRUE,,
College Station,Texas,77840,TRUE,,
Lakeland,Florida,33801,TRUE,,
Wilmington,North Carolina,28401,TRUE,,
North Charleston,South Carolina,29406,TRUE,,
Topeka,Kansas,66603,TRUE,,
The Woodlands,Texas,77380,TRUE,,
Allentown,Pennsylvania,18101,TRUE,,
Simi Valley,California,93063,TRUE,,
New Braunfels,Texas,78130,TRUE,,
